estimator,name,cfg,level,direct_deps,resolved_calculators,n_resolved_stats,attn_mb_per_sample,attn_peak_mb_at_batch,model_passes,unresolved_stats,flags,tier,exclusion_reason,error
EigValLaplacian_NLI_score_entail,EigValLaplacian,affinity=entail;similarity_score=NLI_score,sequence,"sample_texts,semantic_matrix_entail","SamplingGenerationCalculator,SemanticMatrixCalculator",2,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
EigValLaplacian_NLI_score_contra,EigValLaplacian,affinity=contra;similarity_score=NLI_score,sequence,"sample_texts,semantic_matrix_contra","SamplingGenerationCalculator,SemanticMatrixCalculator",2,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
EigValLaplacian_Jaccard_score,EigValLaplacian,similarity_score=Jaccard_score,sequence,sample_texts,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
DegMat_NLI_score_entail,DegMat,affinity=entail;similarity_score=NLI_score,sequence,"sample_texts,semantic_matrix_entail","SamplingGenerationCalculator,SemanticMatrixCalculator",2,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
DegMat_NLI_score_contra,DegMat,affinity=contra;similarity_score=NLI_score,sequence,"sample_texts,semantic_matrix_contra","SamplingGenerationCalculator,SemanticMatrixCalculator",2,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
DegMat_Jaccard_score,DegMat,similarity_score=Jaccard_score,sequence,sample_texts,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
Eccentricity_NLI_score_entail,Eccentricity,affinity=entail;similarity_score=NLI_score,sequence,"sample_texts,semantic_matrix_entail","SamplingGenerationCalculator,SemanticMatrixCalculator",2,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
Eccentricity_NLI_score_contra,Eccentricity,affinity=contra;similarity_score=NLI_score,sequence,"sample_texts,semantic_matrix_contra","SamplingGenerationCalculator,SemanticMatrixCalculator",2,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
Eccentricity_Jaccard_score,Eccentricity,similarity_score=Jaccard_score,sequence,sample_texts,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
SemanticEntropy,SemanticEntropy,-,sequence,"sample_log_probs,sample_texts,semantic_classes_entail","SamplingGenerationCalculator,SemanticClassesCalculator,SemanticMatrixCalculator",6,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
SemanticEntropy (Direct),SemanticEntropy,entropy_estimation=direct,sequence,"sample_log_probs,sample_texts,semantic_classes_entail","SamplingGenerationCalculator,SemanticClassesCalculator,SemanticMatrixCalculator",6,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
SAR,SAR,-,sequence,"sample_log_likelihoods,sample_sentence_similarity,sample_token_similarity","CrossEncoderSimilarityMatrixCalculator,GreedyProbsCalculator,InitialStateCalculator,SamplingGenerationCalculator",7,0,0,1,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
TokenSAR,TokenSAR,-,sequence,"greedy_log_likelihoods,token_similarity","CrossEncoderSimilarityMatrixCalculator,GreedyProbsCalculator,InitialStateCalculator,SamplingGenerationCalculator",6,0,0,1,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
SentenceSAR,SentenceSAR,-,sequence,"sample_log_probs,sample_sentence_similarity","CrossEncoderSimilarityMatrixCalculator,GreedyProbsCalculator,InitialStateCalculator,SamplingGenerationCalculator",6,0,0,1,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
LUQ,LUQ,-,sequence,"semantic_matrix_contra_logits,semantic_matrix_entail_logits","SamplingGenerationCalculator,SemanticMatrixCalculator",3,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
KernelLanguageEntropy,KernelLanguageEntropy,-,sequence,"semantic_matrix_contra,semantic_matrix_entail","SamplingGenerationCalculator,SemanticMatrixCalculator",3,0,0,0,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
EigenScore,EigenScore,-,sequence,sample_embeddings,SamplingGenerationCalculator,1,0,0,0,-,needs_sampling,needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
RenyiNeg,RenyiNeg,-,sequence,greedy_log_probs,GreedyProbsCalculator,1,0,0,1,-,-,single_pass_cheap,,
FisherRao,FisherRao,-,sequence,greedy_log_probs,GreedyProbsCalculator,1,0,0,1,-,-,single_pass_cheap,,
MahalanobisDistanceSeq_decoder,MahalanobisDistanceSeq,-,sequence,"embeddings,train_embeddings","GreedyProbsCalculator,TrainingStatisticExtractionCalculator",2,0,0,1,-,"needs_external_corpus,needs_train_data",needs_train_data,"Fits statistics on a train/background split. Excluded: the assignment forbids supervised training, and this is fitting on held-out train/background data in all but name.",
RelativeMahalanobisDistanceSeq_decoder,RelativeMahalanobisDistanceSeq,-,sequence,"background_train_embeddings,embeddings,train_embeddings","GreedyProbsCalculator,TrainingStatisticExtractionCalculator",3,0,0,1,-,"needs_external_corpus,needs_train_data",needs_train_data,"Fits statistics on a train/background split. Excluded: the assignment forbids supervised training, and this is fitting on held-out train/background data in all but name.",
RDESeq_decoder,RDESeq,-,sequence,"embeddings,train_embeddings","GreedyProbsCalculator,TrainingStatisticExtractionCalculator",2,0,0,1,-,"needs_external_corpus,needs_train_data",needs_train_data,"Fits statistics on a train/background split. Excluded: the assignment forbids supervised training, and this is fitting on held-out train/background data in all but name.",
PPLMDSeq_decoder,PPLMDSeq,md_type=MD,sequence,"background_train_embeddings,embeddings,greedy_log_likelihoods,train_embeddings,train_greedy_log_likelihoods","GreedyProbsCalculator,TrainingStatisticExtractionCalculator",5,0,0,1,-,"needs_external_corpus,needs_train_data",needs_train_data,"Fits statistics on a train/background split. Excluded: the assignment forbids supervised training, and this is fitting on held-out train/background data in all but name.",
PPLRMDSeq_decoder,PPLMDSeq,md_type=RMD,sequence,"background_train_embeddings,embeddings,greedy_log_likelihoods,train_embeddings,train_greedy_log_likelihoods","GreedyProbsCalculator,TrainingStatisticExtractionCalculator",5,0,0,1,-,"needs_external_corpus,needs_train_data",needs_train_data,"Fits statistics on a train/background split. Excluded: the assignment forbids supervised training, and this is fitting on held-out train/background data in all but name.",
Focus,Focus,gamma=0.9;idf_dataset=krisbailey/RedPajama-Data-V2-100M;idf_dataset_size=-1;idf_dataset_text_column=raw_content;idf_seed=42;model_name=${model.path};p=0.01;path=${cache_path}/focus/${model.path}/token_idf.pkl;spacy_path=en_core_web_sm;trust_remote_code=False,?,-,-,0,0,0,0,-,needs_external_corpus,needs_external_corpus,Downloads a large external corpus or artifact at init. Excluded: not feasible on a free T4 session and not required by any constraint.,skipped: cfg declares an external corpus; not instantiated
AttentionScore (layer=None),AttentionScore,gen_only=False,sequence,"forwardpass_attention_weights,greedy_tokens","AttentionForwardPassCalculator,GreedyProbsCalculator",2,75.2,601.6,2,-,needs_attention,single_pass_cheap,,
RAUQ,RAUQ,alpha=0.2;use_entropy=False,sequence,"attention_all,greedy_log_likelihoods",GreedyProbsCalculator,2,0.9,7.0,1,-,needs_attention,single_pass_cheap,,
RAUQ (entropy),RAUQ,alpha=0.8;use_entropy=True,sequence,"attention_all,entropy,greedy_log_likelihoods","EntropyCalculator,GreedyProbsCalculator",4,0.9,7.0,1,-,needs_attention,single_pass_cheap,,
CSL,CSL,-,sequence,"attention_weights_eliciting_prompt,greedy_log_likelihoods","AttentionElicitingPromptCalculator,GreedyProbsCalculator",3,75.2,601.6,1,-,needs_attention,single_pass_cheap,,
CocoaMSP,CocoaMSP,-,sequence,"greedy_log_likelihoods,greedy_sentence_similarity","GreedyCrossEncoderSimilarityMatrixCalculator,GreedyProbsCalculator,InitialStateCalculator,SamplingGenerationCalculator",5,0,0,1,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
CocoaPPL,CocoaPPL,-,sequence,"greedy_log_likelihoods,greedy_sentence_similarity","GreedyCrossEncoderSimilarityMatrixCalculator,GreedyProbsCalculator,InitialStateCalculator,SamplingGenerationCalculator",5,0,0,1,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
CocoaMTE,CocoaMTE,-,sequence,"entropy,greedy_sentence_similarity","EntropyCalculator,GreedyCrossEncoderSimilarityMatrixCalculator,GreedyProbsCalculator,InitialStateCalculator,SamplingGenerationCalculator",6,0,0,1,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
SemanticDensity,SemanticDensity,-,sequence,"concat_greedy_semantic_matrix_contra_forward,concat_greedy_semantic_matrix_neutral_forward,greedy_log_probs,sample_log_probs,sample_texts,sample_tokens","ConcatGreedySemanticMatrixCalculator,GreedyProbsCalculator,InitialStateCalculator,RawInputCalculator,SamplingGenerationCalculator",9,0,0,1,-,"needs_auxiliary_model,needs_sampling",needs_sampling,"Requires multiple sampled generations per input. Excluded from the primary table: cost is a multiple of the single-pass budget, so it is not a matched-compute comparison. Reported separately at n=300.",
BoostedProbSequence,BoostedProbSequence,-,sequence,greedy_log_probs,GreedyProbsCalculator,1,0,0,1,-,-,single_pass_cheap,,
